course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
15.071x,4,12,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair, John Silberholz, Iain Dunning, Angie King, Velibor Misic, Nataly Youssef, Alex Weinstein, Jerry Kung","Government, Health, and Social Science",4,0,33044,5346,1417,71.69,8.73,35.78,710.96,135.79,29,80.37,19.63,85.9,NA,NA,NA,NA,MITx
PH525.7x,4,15,Data Analysis for Genomics: Case Studies in Functional Genomics,Rafael Irizarry,"Government, Health, and Social Science",4,0,1716,462,12,48.08,2.68,0.7,5.68,34.33,28,62.38,37.62,84.84,NA,NA,NA,NA,HarvardX
GSE3x,4,19,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",4,0,2493,803,63,65.3,29.12,2.61,10.31,16.94,37,35.31,64.69,92.08,NA,NA,NA,NA,HarvardX
11.405x,4,19,Just Money: Banking as if Society Mattered,"J. Phillip Thompson, Katrin Kaeufer, Lily Steponaitis","Government, Health, and Social Science",4,0,4955,1274,254,61.59,0,20.14,24.76,21.67,34,60.61,39.39,81.85,NA,NA,NA,NA,MITx
21W.789.4x,4,25,Mobile Application Experiences: Understanding Use,"Frank Bentley, Ed Barrett",Computer Science,4,0,664,228,5,43.37,1.2,9.49,0.62,7.38,29,79.28,20.72,77.39,NA,NA,NA,NA,MITx
11.126x,4,27,Introduction to Game Design,"Eric Klopfer, Philp Tan, Sara Verrilli","Humanities, History, Design, Religion, and Education",4,0,9933,923,121,58.4,0,16.3,27.02,27.33,26,76.72,23.28,58.91,NA,NA,NA,NA,MITx
8.05.3x,4,27,Mastering Quantum Mechanics: Entanglement and Angular Momentum,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",4,0,1236,379,35,52.43,6.15,23.38,19.33,103.22,27,91.1,8.9,71.51,NA,NA,NA,NA,MITx
MUS24.1x,4,28,First Nights: L'Orfeo,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,0,1199,639,43,78.23,6.42,3.75,4.94,8.01,40,53.63,46.37,78.46,NA,NA,NA,NA,HarvardX
JPAL101x,5,2,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",4,0,4130,828,166,60.22,7.43,29.64,33.63,47.71,30,49.49,50.51,89.32,NA,NA,NA,NA,MITx
HDS3221.3x,5,3,World Religions Through their Scriptures: Buddhism,Charles Hallisey,"Humanities, History, Design, Religion, and Education",4,0,8758,1710,94,71.61,17.32,1.07,25.96,26.27,36,50.28,49.72,75.56,NA,NA,NA,NA,HarvardX
GSE2x,5,11,Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",4,0,9743,1271,202,70.53,14.6,2.12,20.17,14.46,31,48.89,51.11,78.93,NA,NA,NA,NA,HarvardX
3.054.3x,5,11,Cellular Solids: Applications in Nature,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,362,283,24,45.86,7.18,12.71,1.55,23.31,28,77.21,22.79,80.07,NA,NA,NA,NA,MITx
CTL.SC2x,5,18,Supply Chain Design,"Chris Caplice, Yossi Sheffi, Jarrod Goentzel, James Blayney Rice Jr.","Government, Health, and Social Science",4,0,12455,2814,1510,77.06,17.05,24.23,355.29,142.79,30,77.19,22.81,85.81,NA,NA,NA,NA,MITx
21W.789.5x,5,23,Mobile Application Experiences: Reporting Research Findings,"Frank Bentley, Ed Barrett",Computer Science,4,0,322,187,4,25.78,1.55,1.86,0.11,6.88,29,76.1,23.9,72.45,NA,NA,NA,NA,MITx
MCB64.1x,5,25,Cell Biology: Mitochondria,Rob Lue,"Science, Technology, Engineering, and Mathematics",4,0,8297,1933,268,74.58,11.29,3.25,39.56,18.06,28,53.86,46.14,63.2,NA,NA,NA,NA,HarvardX
3.15.1x,5,25,Electronic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",4,0,7898,2066,94,56.24,2.14,9.01,28.25,53.65,24,85.28,14.72,56.87,NA,NA,NA,NA,MITx
HDS3221.4x,6,1,World Religions Through Their Scriptures: Islam,Ali Asani,"Humanities, History, Design, Religion, and Education",4,0,8695,1663,127,71.71,19.92,1.47,39.83,35.64,31,50.2,49.8,74.37,NA,NA,NA,NA,HarvardX
7.28.1x1,6,7,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",4,0,4825,715,92,67.83,5.37,33.49,29.82,49.8,26,54.56,45.44,68.23,NA,NA,NA,NA,MITx
6.00.1x,6,7,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,0,21212,3473,947,74.42,8.73,44.23,485.85,119.57,24,80.63,19.37,58.76,NA,NA,NA,NA,MITx
